Date,values
2016-01-30,1894.0
2016-01-31,1894.0
2016-02-01,1936.93994140625
2016-02-02,1935.260009765625
2016-02-03,1907.0699462890625
2016-02-04,1911.6700439453125
2016-02-05,1913.0699462890625
2016-02-06,1913.0699462890625
2016-02-07,1913.0699462890625
2016-02-08,1873.25
2016-02-09,1848.4599609375
2016-02-10,1857.0999755859373
2016-02-11,1847.0
2016-02-12,1833.4000244140625
2016-02-13,1833.4000244140625
2016-02-14,1833.4000244140625
2016-02-15,1833.4000244140625
2016-02-16,1871.43994140625
2016-02-17,1898.800048828125
2016-02-18,1927.5699462890625
2016-02-19,1916.739990234375
2016-02-20,1916.739990234375
2016-02-21,1916.739990234375
2016-02-22,1924.43994140625
2016-02-23,1942.3800048828125
2016-02-24,1917.56005859375
2016-02-25,1931.8699951171875
2016-02-26,1954.949951171875
2016-02-27,1954.949951171875
2016-02-28,1954.949951171875
2016-02-29,1947.1300048828125
2016-03-01,1937.0899658203125
2016-03-02,1976.5999755859373
2016-03-03,1985.5999755859373
2016-03-04,1994.010009765625
2016-03-05,1994.010009765625
2016-03-06,1994.010009765625
2016-03-07,1996.1099853515625
2016-03-08,1996.8800048828125
2016-03-09,1981.43994140625
2016-03-10,1990.969970703125
2016-03-11,1994.7099609375
2016-03-12,1994.7099609375
2016-03-13,1994.7099609375
2016-03-14,2019.27001953125
2016-03-15,2015.27001953125
2016-03-16,2014.239990234375
2016-03-17,2026.9000244140625
2016-03-18,2041.1600341796875
2016-03-19,2041.1600341796875
2016-03-20,2041.1600341796875
2016-03-21,2047.8800048828125
2016-03-22,2048.639892578125
2016-03-23,2048.550048828125
2016-03-24,2032.47998046875
2016-03-25,2032.47998046875
2016-03-26,2032.47998046875
2016-03-27,2032.47998046875
2016-03-28,2037.8900146484373
2016-03-29,2035.75
2016-03-30,2058.27001953125
2016-03-31,2063.77001953125
2016-04-01,2056.6201171875
2016-04-02,2056.6201171875
2016-04-03,2056.6201171875
2016-04-04,2073.18994140625
2016-04-05,2062.5
2016-04-06,2045.56005859375
2016-04-07,2063.010009765625
2016-04-08,2045.5400390625
2016-04-09,2045.5400390625
2016-04-10,2045.5400390625
2016-04-11,2050.22998046875
2016-04-12,2043.719970703125
2016-04-13,2065.919921875
2016-04-14,2082.889892578125
2016-04-15,2083.10009765625
2016-04-16,2083.10009765625
2016-04-17,2083.10009765625
2016-04-18,2078.830078125
2016-04-19,2096.050048828125
2016-04-20,2101.52001953125
2016-04-21,2102.090087890625
2016-04-22,2091.489990234375
2016-04-23,2091.489990234375
2016-04-24,2091.489990234375
2016-04-25,2089.3701171875
2016-04-26,2089.840087890625
2016-04-27,2092.330078125
2016-04-28,2090.929931640625
2016-04-29,2071.820068359375
2016-04-30,2071.820068359375
2016-05-01,2071.820068359375
2016-05-02,2067.169921875
2016-05-03,2077.179931640625
2016-05-04,2060.300048828125
2016-05-05,2052.949951171875
2016-05-06,2047.77001953125
2016-05-07,2047.77001953125
2016-05-08,2047.77001953125
2016-05-09,2057.550048828125
2016-05-10,2062.6298828125
2016-05-11,2083.2900390625
2016-05-12,2067.169921875
2016-05-13,2062.5
2016-05-14,2062.5
2016-05-15,2062.5
2016-05-16,2046.530029296875
2016-05-17,2065.0400390625
2016-05-18,2044.3800048828125
2016-05-19,2044.2099609375
2016-05-20,2041.8800048828125
2016-05-21,2041.8800048828125
2016-05-22,2041.8800048828125
2016-05-23,2052.22998046875
2016-05-24,2052.64990234375
2016-05-25,2078.929931640625
2016-05-26,2091.43994140625
